关键词,编码,品目名称
其他菌苗,A07025799,其他菌苗
菌苗制剂,A07025800,菌苗制剂
吸附百日咳白喉破伤风混合制剂,A07025801,吸附百日咳白喉破伤风混合制剂
吸附百日咳菌苗白喉类毒素混合制剂,A07025802,吸附百日咳菌苗白喉类毒素混合制剂
卡介苗多糖核酸,A07025803,卡介苗多糖核酸
破伤风类毒素混合制剂,A07025804,破伤风类毒素混合制剂
核酪制剂,A07025805,核酪制剂
口服多价痢疾噬菌体,A07025806,口服多价痢疾噬菌体
哮喘菌苗注射液,A07025807,哮喘菌苗注射液
气管炎菌苗片,A07025808,气管炎菌苗片
其他菌苗制剂,A07025899,其他菌苗制剂
人用疫苗,A07025900,人用疫苗
脑炎疫苗,A07025901,脑炎疫苗
脑膜炎疫苗,A07025902,脑膜炎疫苗
麻疹、风疹及腮腺炎疫苗,A07025903,麻疹、风疹及腮腺炎疫苗
狂犬病疫苗,A07025904,狂犬病疫苗
脊髓灰质炎疫苗,A07025905,脊髓灰质炎疫苗
肝炎疫苗,A07025906,肝炎疫苗
流感疫苗,A07025907,流感疫苗
肾综合症疫苗,A07025908,肾综合症疫苗
破伤风、白喉及百日咳疫苗,A07025909,破伤风、白喉及百日咳疫苗
黄热减毒活疫苗,A07025910,黄热减毒活疫苗
其他人用疫苗,A07025999,其他人用疫苗
类毒素,A07026000,类毒素
吸附精制白喉类毒素,A07026001,吸附精制白喉类毒素
吸附精制白喉破伤风二联类毒素,A07026002,吸附精制白喉破伤风二联类毒素
吸附精制破伤风类毒素,A07026003,吸附精制破伤风类毒素
吸附精制破伤风气性坏疽四联类毒类,A07026004,吸附精制破伤风气性坏疽四联类毒类
葡萄球菌类毒素,A07026005,葡萄球菌类毒素
其他类毒素,A07026099,其他类毒素
抗毒素类,A07026100,抗毒素类
白喉抗毒素,A07026101,白喉抗毒素
破伤风抗毒素,A07026102,破伤风抗毒素
多价气性坏疽抗毒素,A07026103,多价气性坏疽抗毒素
肉毒抗毒素制剂,A07026104,肉毒抗毒素制剂
其他抗毒素类,A07026199,其他抗毒素类
抗血清类,A07026200,抗血清类
抗蛇毒血清,A07026201,抗蛇毒血清
抗狂犬病血清,A07026202,抗狂犬病血清
抗炭疽血清,A07026203,抗炭疽血清
抗赤痢血清,A07026204,抗赤痢血清
精制抗腺病毒血清,A07026205,精制抗腺病毒血清
抗淋巴细胞血清,A07026206,抗淋巴细胞血清
其他抗血清类,A07026299,其他抗血清类
血液制品,A07026300,血液制品
球蛋白、白蛋白,A07026301,球蛋白、白蛋白
血液制品制剂,A07026302,血液制品制剂
其他血液制品,A07026399,其他血液制品
细胞因子,A07026400,细胞因子
干扰素制剂,A07026401,干扰素制剂
胸腺肽制剂,A07026402,胸腺肽制剂
转移因子制剂,A07026403,转移因子制剂
促肝细胞生长素制剂,A07026404,促肝细胞生长素制剂
白介素制剂,A07026405,白介素制剂
其他细胞因子,A07026499,其他细胞因子
诊断用生物制品,A07026500,诊断用生物制品
诊断用菌素、菌液、菌体,A07026501,诊断用菌素、菌液、菌体
诊断血球,A07026502,诊断血球
诊断用抗原,A07026503,诊断用抗原
诊断用血凝素,A07026404,诊断用血凝素
诊断用血清,A07026505,诊断用血清
试验用毒素,A07026506,试验用毒素
诊断用生物试剂盒,A07026507,诊断用生物试剂盒
其他诊断用生物制品,A07026599,其他诊断用生物制品
生物制剂,A07026600,生物制剂
生物菌及菌片,A07026601,生物菌及菌片
生物试剂盒,A07026602,生物试剂盒
微生物培养基,A07026603,微生物培养基
其他生物制剂,A07026699,其他生物制剂
病人医用试剂,A07026700,病人医用试剂
血型试剂,A07026701,血型试剂
影象检查用化学药制剂,A07026702,影象检查用化学药制剂
器官功能检查剂,A07026703,器官功能检查剂
其他病人医用试剂,A07026799,其他病人医用试剂
非病人用诊断检验、实验用试剂,A07026800,非病人用诊断检验、实验用试剂
有衬背的诊断或实验用试剂,A07026801,有衬背的诊断或实验用试剂
无衬背的诊断或实验用试剂,A07026802,无衬背的诊断或实验用试剂
空心胶囊,A07026803,空心胶囊
其他非病人用诊断检验、实验用试剂,A07026899,其他非病人用诊断检验、实验用试剂
其他医药品,A07029900,其他医药品
农林牧渔业产品,A07030000,农林牧渔业产品
其他谷物,A07030199,其他谷物
马铃薯,A07030201,马铃薯
其他薯类,A07030299,其他薯类
油菜籽,A07030302,油菜籽
葵花籽,A07030303,葵花籽
胡麻籽,A07030305,胡麻籽
蓖麻籽,A07030307,蓖麻籽
红花籽,A07030309,红花籽
油棕果及油棕仁,A07030310,油棕果及油棕仁
罂粟子,A07030311,罂粟子
油橄榄果,A07030312,油橄榄果
油茶籽（油料）,A07030313,油茶籽（油料）
其他油料,A07030399,其他油料
干豌豆,A07030404,干豌豆
小扁豆,A07030405,小扁豆
干蚕豆,A07030406,干蚕豆
干豇豆,A07030409,干豇豆
鹰嘴豆,A07030410,鹰嘴豆
其他豆类,A07030499,其他豆类
其他棉花,A07030599,其他棉花
生亚麻,A07030601,生亚麻
生苎麻,A07030602,生苎麻
生黄红麻,A07030603,生黄红麻
生线麻,A07030604,生线麻
生茼麻,A07030605,生茼麻
生大麻,A07030606,生大麻
生剑麻,A07030607,生剑麻
其他生麻,A07030699,其他生麻
其他糖料,A07030799,其他糖料
未加工的烟草,A07030800,未加工的烟草
未去梗烤烟叶,A07030801,未去梗烤烟叶
未去梗晒烟叶,A07030802,未去梗晒烟叶
未去梗晾烟叶,A07030803,未去梗晾烟叶
未去梗白肋烟,A07030804,未去梗白肋烟
其他未加工的烟草,A07030899,其他未加工的烟草
饲料作物,A07030900,饲料作物
青饲料,A07030902,青饲料
饲料牧草,A07030903,饲料牧草
饲料作物用种子,A07030904,饲料作物用种子
其他饲料作物,A07030999,其他饲料作物
水生植物类,A07031000,水生植物类
其他水生植物类,A07031099,其他水生植物类
农作物副产品,A07031100,农作物副产品
作物茎、杆、根,A07031101,作物茎、杆、根
其他农作物副产品,A07031199,其他农作物副产品
蔬菜及食用菌,A07031200,蔬菜及食用菌
食用菌,A07031202,食用菌
其他蔬菜及食用菌,A07031299,其他蔬菜及食用菌
茶及饮料原料,A07031300,茶及饮料原料
饮料原料,A07031302,饮料原料
其他茶及饮料原料,A07031399,其他茶及饮料原料
香料原料,A07031400,香料原料
调味香料,A07031401,调味香料
香味料,A07031402,香味料
其他香料原料,A07031499,其他香料原料
育种和育苗,A07031500,育种和育苗
林木种子,A07031501,林木种子
灌木、藤木，相关林木种子,A07031502,灌木、藤木，相关林木种子
苗木类,A07031503,苗木类
其他育种和育苗,A07031599,其他育种和育苗
木材采伐产品,A07031600,木材采伐产品
小规格木材,A07031602,小规格木材
短条及细枝等,A07031604,短条及细枝等
其他木材采伐产品,A07031699,其他木材采伐产品
竹材采伐产品,A07031700,竹材采伐产品
其他竹材采伐产品,A07031799,其他竹材采伐产品
林产品,A07031800,林产品
天然橡胶,A07031801,天然橡胶
天然树脂、树胶,A07031802,天然树脂、树胶
栲胶原料,A07031803,栲胶原料
非直接食用果类,A07031804,非直接食用果类
编结用原料,A07031805,编结用原料
染色、鞣革用植物原料,A07031806,染色、鞣革用植物原料
其他林产品,A07031899,其他林产品
活牲畜,A07031900,活牲畜
其他活牲畜,A07031999,其他活牲畜
活家禽,A07032000,活家禽
活火鸡,A07032004,活火鸡
活珍珠鸡,A07032005,活珍珠鸡
其他活家禽,A07032099,其他活家禽
畜禽产品,A07032100,畜禽产品
天然蜂蜜及副产品,A07032103,天然蜂蜜及副产品
动物毛类,A07032105,动物毛类
生毛皮,A07032107,生毛皮
制刷用兽毛,A07032108,制刷用兽毛
其他畜禽产品,A07032199,其他畜禽产品
家禽遗产材料,A07032200,家禽遗产材料
饲养动物,A07032300,饲养动物
爬行动物,A07032301,爬行动物
蛙类动物,A07032302,蛙类动物
鹦形目鸟,A07032304,鹦形目鸟
梅花鹿,A07032308,梅花鹿
其他饲养动物,A07032399,其他饲养动物
海水养殖产品,A07032400,海水养殖产品
海水养殖鱼,A07032401,海水养殖鱼
海水养殖虾,A07032402,海水养殖虾
海水养殖蟹,A07032403,海水养殖蟹
海水养殖贝类,A07032404,海水养殖贝类
海水养殖藻类,A07032405,海水养殖藻类
其他海水养殖产品,A07032499,其他海水养殖产品
海水养殖产品种苗,A07032500,海水养殖产品种苗
海水养殖鱼苗,A07032501,海水养殖鱼苗
海水养殖虾种苗,A07032502,海水养殖虾种苗
海水养殖蟹苗,A07032503,海水养殖蟹苗
海水养殖贝类种苗,A07032504,海水养殖贝类种苗
海水养殖藻类育苗,A07032505,海水养殖藻类育苗
其他海水养殖产品种苗,A07032599,其他海水养殖产品种苗
海水捕捞产品,A07032600,海水捕捞产品
海水捕捞鲜鱼,A07032601,海水捕捞鲜鱼
海水捕捞虾,A07032602,海水捕捞虾
海水捕捞蟹,A07032603,海水捕捞蟹
海水捕捞贝类,A07032604,海水捕捞贝类
海水捕捞软体水生动物,A07032605,海水捕捞软体水生动物
其他海水捕捞产品,A07032699,其他海水捕捞产品
淡水养殖产品,A07032700,淡水养殖产品
养殖淡水鱼,A07032701,养殖淡水鱼
淡水养殖虾,A07032702,淡水养殖虾
淡水养殖蟹,A07032703,淡水养殖蟹
淡水养殖贝类,A07032704,淡水养殖贝类
淡水养殖藻类种苗,A07032705,淡水养殖藻类种苗
其他淡水养殖产品,A07032799,其他淡水养殖产品
淡水养殖产品种苗,A07032800,淡水养殖产品种苗
淡水鱼苗,A07032801,淡水鱼苗
淡水养殖虾苗,A07032802,淡水养殖虾苗
淡水养殖蟹种苗,A07032803,淡水养殖蟹种苗
淡水养殖贝壳种苗,A07032804,淡水养殖贝壳种苗
淡水养殖藻类育苗,A07032805,淡水养殖藻类育苗
其他淡水养殖产品种苗,A07032899,其他淡水养殖产品种苗
淡水捕捞产品,A07032900,淡水捕捞产品
捕捞淡水鱼,A07032901,捕捞淡水鱼
淡水捕捞鲜虾,A07032902,淡水捕捞鲜虾
淡水捕捞蟹,A07032903,淡水捕捞蟹
淡水捕捞鲜软体动物,A07032904,淡水捕捞鲜软体动物
淡水捕捞螺旋藻,A07032905,淡水捕捞螺旋藻
其他淡水捕捞产品,A07032999,其他淡水捕捞产品
其他农林牧渔业产品,A07039900,其他农林牧渔业产品
矿与矿物,A07040000,矿与矿物
煤炭采选产品,A07040100,煤炭采选产品
其他煤炭采选产品,A07040199,其他煤炭采选产品
石油和天然气开采产品,A07040200,石油和天然气开采产品
天然气,A07040202,天然气
液化天然气,A07040203,液化天然气
煤层气（煤田）,A07040204,煤层气（煤田）
天然气水合物,A07040205,天然气水合物
油页岩,A07040206,油页岩
其他石油和天然气开采产品,A07040299,其他石油和天然气开采产品
黑色金属矿,A07040300,黑色金属矿
铁矿石,A07040301,铁矿石
铬矿石,A07040303,铬矿石
其他黑色金属矿,A07040399,其他黑色金属矿
有色金属矿,A07040400,有色金属矿
常用有色金属矿,A07040401,常用有色金属矿
贵金属矿,A07040402,贵金属矿
稀有稀土金属矿,A07040403,稀有稀土金属矿
放射性金属矿,A07040404,放射性金属矿
其他有色金属矿,A07040499,其他有色金属矿
非金属矿,A07040500,非金属矿
石灰石、石膏类,A07040501,石灰石、石膏类
建筑用天然石料,A07040502,建筑用天然石料
耐火土石类,A07040503,耐火土石类
黏土、砂石,A07040504,黏土、砂石
化学矿,A07040505,化学矿
天然石墨,A07040509,天然石墨
宝石、玉矿石,A07040511,宝石、玉矿石
其他非金属矿,A07040599,其他非金属矿
其他矿与矿物,A07049900,其他矿与矿物
电力、城市燃气、蒸汽和热水、水,A07050000,电力、城市燃气、蒸汽和热水、水
水力发电电能,A07050101,水力发电电能
火力发电电能,A07050102,火力发电电能
核能发电电能,A07050103,核能发电电能
风力发电电能,A07050104,风力发电电能
地热发电电能,A07050105,地热发电电能
太阳能发电电能,A07050106,太阳能发电电能
生物能发电电能,A07050107,生物能发电电能
潮汐发电电能,A07050108,潮汐发电电能
其他电能,A07050199,其他电能
煤气、水煤气、发生炉煤气和类似的可燃气,A07050200,煤气、水煤气、发生炉煤气和类似的可燃气
水煤气,A07050202,水煤气
发生炉煤气,A07050203,发生炉煤气
焦炉煤气,A07050204,焦炉煤气
其他煤气、水煤气、发生炉煤气和类似的可燃气,A07050299,其他煤气、水煤气、发生炉煤气和类似的可燃气
蒸汽和热水,A07050300,蒸汽和热水
自然水,A07050400,自然水
地下水,A07050401,地下水
地表水,A07050402,地表水
其他自然水,A07050499,其他自然水
处理过水,A07050500,处理过水
生活饮用水,A07050501,生活饮用水
商业饮用水,A07050502,商业饮用水
工业专用水,A07050503,工业专用水
其他处理过水,A07050599,其他处理过水
其他电力、城市燃气、蒸汽和热水、水,A07059900,其他电力、城市燃气、蒸汽和热水、水
食品、饮料和烟草原料,A07060000,食品、饮料和烟草原料
农副食品，动、植物油制品,A07060100,农副食品，动、植物油制品
谷物细粉,A07060101,谷物细粉
碾磨谷物及谷物加工品,A07060102,碾磨谷物及谷物加工品
薯、豆、相关植物加工品,A07060103,薯、豆、相关植物加工品
植物油及其制品,A07060105,植物油及其制品
糖及副产品,A07060106,糖及副产品
畜禽肉,A07060107,畜禽肉
油脂及食品杂碎,A07060108,油脂及食品杂碎
熟肉制品,A07060109,熟肉制品
水产品加工,A07060110,水产品加工
蔬菜加工品,A07060111,蔬菜加工品
水果、坚果加工品,A07060112,水果、坚果加工品
淀粉及淀粉制品,A07060113,淀粉及淀粉制品
豆腐及豆制品,A07060114,豆腐及豆制品
蛋制品,A07060115,蛋制品
其他农副食品，动、植物油制品,A07060199,其他农副食品，动、植物油制品
食品及加工盐,A07060200,食品及加工盐
焙烤食品,A07060201,焙烤食品
糖果、巧克力及类似食品,A07060202,糖果、巧克力及类似食品
方便食品,A07060203,方便食品
乳制品,A07060204,乳制品
调味品,A07060206,调味品
发酵类制品,A07060207,发酵类制品
营养、保健食品,A07060208,营养、保健食品
冷冻饮品,A07060209,冷冻饮品
加工盐,A07060210,加工盐
食品添加剂,A07060211,食品添加剂
食品用类似原料,A07060212,食品用类似原料
其他食品及加工盐,A07060299,其他食品及加工盐
饮料、酒精及精制茶,A07060300,饮料、酒精及精制茶
精制茶及茶制品,A07060303,精制茶及茶制品
酒精专用原辅料,A07060304,酒精专用原辅料
饮料专用原辅料,A07060305,饮料专用原辅料
其他饮料、酒精及精制茶,A07060399,其他饮料、酒精及精制茶
烟草原料,A07060400,烟草原料
复烤烟叶,A07060401,复烤烟叶
其他烟草原料,A07060499,其他烟草原料
其他食品、饮料和烟草原料,A07069900,其他食品、饮料和烟草原料
炼焦产品、炼油产品,A07070000,炼焦产品、炼油产品
石油制品,A07070100,石油制品
润滑油,A07070104,润滑油
燃料油,A07070105,燃料油
石脑油,A07070106,石脑油
溶剂油,A07070107,溶剂油
润滑脂,A07070108,润滑脂
润滑油基础油,A07070109,润滑油基础油
液体石蜡,A07070110,液体石蜡
石油气、相关烃类,A07070111,石油气、相关烃类
矿物蜡及合成法制类似产品,A07070112,矿物蜡及合成法制类似产品
油类残渣,A07070113,油类残渣
其他石油制品,A07070199,其他石油制品
人造原油,A07070200,人造原油
页岩原油,A07070201,页岩原油
煤炼油,A07070202,煤炼油
生物能源,A07070203,生物能源
合成液体燃料,A07070204,合成液体燃料
其他人造原油,A07070299,其他人造原油
焦炭及其副产品,A07070300,焦炭及其副产品
矿物焦油,A07070302,矿物焦油
其他焦炭及其副产品,A07070399,其他焦炭及其副产品
其他炼焦产品、炼油产品,A07079900,其他炼焦产品、炼油产品
基础化学品及相关产品,A07080000,基础化学品及相关产品
化学原料及化学制品,A07080100,化学原料及化学制品
无机基础化学原料,A07080101,无机基础化学原料
有机化学原料,A07080102,有机化学原料
贵金属化合物，相关基础化学品,A07080103,贵金属化合物，相关基础化学品
化学肥料,A07080104,化学肥料
有机肥料及微生物肥料,A07080105,有机肥料及微生物肥料
化学农药,A07080106,化学农药
生物农药及微生物农药,A07080107,生物农药及微生物农药
油墨及类似产品,A07080109,油墨及类似产品
化学颜料,A07080110,化学颜料
染料类,A07080111,染料类
密封用填料及类似品,A07080112,密封用填料及类似品
合成材料,A07080113,合成材料
化学试剂和助剂,A07080114,化学试剂和助剂
专项化学用品,A07080115,专项化学用品
林产化学产品,A07080116,林产化学产品
炸药、烟火及火工产品,A07080117,炸药、烟火及火工产品
环境污染处理专用药剂材料,A07080118,环境污染处理专用药剂材料
动物炭黑、动物胶及其衍生物,A07080119,动物炭黑、动物胶及其衍生物
焊接用制品,A07080120,焊接用制品
工业清洗剂,A07080121,工业清洗剂
其他化学原料及化学制品,A07080199,其他化学原料及化学制品
